nid,iso3,toilet,sewage,sani,manny,ani,mat
151313,NGA,Flush toilet,Not connected to sewage disposal system,flush_unimp,mg,ad,
151313,NGA,No toilet,Not connected to sewage disposal system,open,mg,ad,
151313,NGA,"Non-flush, latrine",Unknown,latrine_cw,mg,ad,
151313,NGA,Flush toilet,Unknown,flush_imp,mg,ad,
151313,NGA,No toilet,Unknown,open,mg,ad,
151313,NGA,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,mg,ad,
151313,NGA,"Non-flush, latrine",,latrine_cw,mg,ad,
151313,NGA,Flush toilet,,flush_cw,mg,ad,
151313,NGA,No toilet,,open,mg,ad,
151313,NGA,"Non-flush, other and unspecified",Not connected to sewage disposal system,,mg,ad,
151313,NGA,"Non-flush, latrine",Septic tank (private sewage disposal),septic,mg,ad,
151313,NGA,"Non-flush, latrine",Sewage system (public sewage disposal),latrine_cw,mg,ad,
151313,NGA,"Non-flush, other and unspecified",Unknown,,mg,ad,
151313,NGA,"Non-flush, other and unspecified",,,mg,ad,
151313,NGA,"Non-flush, other and unspecified",Septic tank (private sewage disposal),septic,mg,ad,
151313,NGA,"Non-flush, other and unspecified",Sewage system (public sewage disposal),latrine_cw,mg,ad,
151313,NGA,Unknown,Not connected to sewage disposal system,,mg,ad,
151313,NGA,Unknown,Unknown,,mg,ad,
151313,NGA,Unknown,Septic tank (private sewage disposal),septic,mg,ad,
151313,NGA,Unknown,Sewage system (public sewage disposal),,mg,ad,
151313,NGA,Unknown,,,mg,ad,
151314,NGA,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,mg,ad,
151314,NGA,No toilet,Septic tank (private sewage disposal),septic,mg,ad,
151314,NGA,No toilet,Sewage system (public sewage disposal),open,mg,ad,
151314,NGA,"Non-flush, latrine",Unknown,latrine_cw,mg,ad,
151314,NGA,Flush toilet,Unknown,flush_imp,mg,ad,
151314,NGA,No toilet,Unknown,open,mg,ad,
151314,NGA,"Non-flush, other and unspecified",Not connected to sewage disposal system,,mg,ad,
151314,NGA,"Non-flush, latrine",Not connected to sewage disposal system,unimp,mg,ad,
151314,NGA,Flush toilet,Not connected to sewage disposal system,flush_unimp,mg,ad,
151314,NGA,No toilet,Not connected to sewage disposal system,open,mg,ad,
151314,NGA,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,mg,ad,
151314,NGA,"Non-flush, latrine",,latrine_cw,mg,ad,
151314,NGA,Flush toilet,,flush_cw,mg,ad,
151314,NGA,No toilet,,open,mg,ad,
151314,NGA,"Non-flush, latrine",Septic tank (private sewage disposal),septic,mg,ad,
151314,NGA,"Non-flush, latrine",Sewage system (public sewage disposal),latrine_cw,mg,ad,
151314,NGA,"Non-flush, other and unspecified",Unknown,,mg,ad,
151314,NGA,"Non-flush, other and unspecified",,,mg,ad,
151314,NGA,"Non-flush, other and unspecified",Septic tank (private sewage disposal),septic,mg,ad,
151314,NGA,"Non-flush, other and unspecified",Sewage system (public sewage disposal),latrine_cw,mg,ad,
151314,NGA,Unknown,Not connected to sewage disposal system,,mg,ad,
151314,NGA,Unknown,Unknown,,mg,ad,
151314,NGA,Unknown,Septic tank (private sewage disposal),septic,mg,ad,
151314,NGA,Unknown,Sewage system (public sewage disposal),,mg,ad,
151314,NGA,Unknown,,,mg,ad,
151317,NGA,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,mg,ad,
151317,NGA,No toilet,Septic tank (private sewage disposal),septic,mg,ad,
151317,NGA,No toilet,Sewage system (public sewage disposal),open,mg,ad,
151317,NGA,"Non-flush, other and unspecified",Not connected to sewage disposal system,,mg,ad,
151317,NGA,"Non-flush, latrine",Not connected to sewage disposal system,unimp,mg,ad,
151317,NGA,Flush toilet,Not connected to sewage disposal system,flush_unimp,mg,ad,
151317,NGA,No toilet,Not connected to sewage disposal system,open,mg,ad,
151317,NGA,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,mg,ad,
151317,NGA,"Non-flush, latrine",Septic tank (private sewage disposal),septic,mg,ad,
151317,NGA,"Non-flush, latrine",Sewage system (public sewage disposal),latrine_cw,mg,ad,
151317,NGA,"Non-flush, latrine",Unknown,latrine_cw,mg,ad,
151317,NGA,Flush toilet,Unknown,flush_imp,mg,ad,
151317,NGA,No toilet,Unknown,open,mg,ad,
151317,NGA,"Non-flush, latrine",,latrine_cw,mg,ad,
151317,NGA,Flush toilet,,flush_cw,mg,ad,
151317,NGA,No toilet,,open,mg,ad,
151317,NGA,"Non-flush, other and unspecified",Unknown,,mg,ad,
151317,NGA,"Non-flush, other and unspecified",,,mg,ad,
151317,NGA,"Non-flush, other and unspecified",Septic tank (private sewage disposal),septic,mg,ad,
151317,NGA,"Non-flush, other and unspecified",Sewage system (public sewage disposal),latrine_cw,mg,ad,
151317,NGA,Unknown,Not connected to sewage disposal system,,mg,ad,
151317,NGA,Unknown,Unknown,,mg,ad,
151317,NGA,Unknown,,,mg,ad,
151317,NGA,Unknown,Septic tank (private sewage disposal),septic,mg,ad,
151317,NGA,Unknown,Sewage system (public sewage disposal),,mg,ad,
56516,NIC,No toilet,Not connected to sewage disposal system,open,,,mb
56516,NIC,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
56516,NIC,Flush toilet,Not connected to sewage disposal system,flush_unimp,,,mb
56516,NIC,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
56516,NIC,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
56516,NIC,NIU (not in universe),NIU (not in universe),,,,mb
56516,NIC,Unknown,Unknown,,,,mb
56520,NIC,No toilet,Not connected to sewage disposal system,open,,,mb
56520,NIC,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
56520,NIC,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
56520,NIC,NIU (not in universe),NIU (not in universe),,,,mb
56520,NIC,Flush toilet,Not connected to sewage disposal system,flush_unimp,,,mb
56520,NIC,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
40907,PAN,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
40907,PAN,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
40907,PAN,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
40907,PAN,No toilet,Not connected to sewage disposal system,open,,,mb
40907,PAN,NIU (not in universe),NIU (not in universe),,,,mb
41262,PER,No toilet,Not connected to sewage disposal system,open,,,mb
41262,PER,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
41262,PER,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
41262,PER,"Non-flush, other and unspecified",Not connected to sewage disposal system,,,,mb
41262,PER,NIU (not in universe),NIU (not in universe),,,,mb
41267,PER,No toilet,Not connected to sewage disposal system,open,,,mb
41267,PER,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
41267,PER,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
41267,PER,"Non-flush, other and unspecified",Not connected to sewage disposal system,,,,mb
41267,PER,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
41267,PER,NIU (not in universe),NIU (not in universe),,,,mb
41272,PHL,Flush toilet,,flush_cw,,,mb
41272,PHL,No toilet,,open,,,mb
41272,PHL,"Non-flush, latrine",,latrine_cw,,,mb
41272,PHL,"Non-flush, other and unspecified",,,,,mb
41296,PHL,Flush toilet,,flush_cw,,,mb
41296,PHL,"Non-flush, other and unspecified",,,,,mb
41296,PHL,No toilet,,open,,,mb
41296,PHL,"Non-flush, latrine",,latrine_cw,,,mb
227162,PRY,"Non-flush, latrine",,latrine_cw,,,mb
227162,PRY,NIU (not in universe),,,,,mb
227162,PRY,Flush toilet,,flush_cw,,,mb
227162,PRY,No toilet,,open,,,mb
227162,PRY,Unknown,,,,,mb
227167,PRY,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
227167,PRY,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
227167,PRY,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
227167,PRY,Unknown,Unknown,,,,mb
227167,PRY,No toilet,NIU (not in universe),open,,,mb
227167,PRY,NIU (not in universe),NIU (not in universe),,,,mb
41083,PSE,flush toilet,Not connected to sewage disposal system,flush_unimp,,,mb
41083,PSE,"non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
41083,PSE,flush toilet,Connected to sewage system or septic tank,flush_imp_septic,,,mb
41083,PSE,no toilet,Not connected to sewage disposal system,open,,,mb
41083,PSE,"non-flush, latrine",Connected to sewage system or septic tank,septic,,,mb
41083,PSE,no toilet,Unknown,open,,,mb
41083,PSE,unknown,Unknown,,,,mb
41083,PSE,flush toilet,Unknown,flush_imp,,,mb
41083,PSE,"non-flush, latrine",Unknown,latrine_cw,,,mb
41083,PSE,unknown,Connected to sewage system or septic tank,septic,,,mb
41083,PSE,unknown,Not connected to sewage disposal system,,,,mb
41083,PSE,no toilet,Connected to sewage system or septic tank,septic,,,mb
41088,PSE,Flush toilet,Not connected to sewage disposal system,flush_unimp,,,mb
41088,PSE,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
41088,PSE,Unknown,Unknown,,,,mb
41088,PSE,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
41088,PSE,Unknown,Not connected to sewage disposal system,,,,mb
41088,PSE,"Non-flush, latrine",Sewage system (public sewage disposal),latrine_cw,,,mb
41088,PSE,No toilet,Not connected to sewage disposal system,open,,,mb
41088,PSE,Unknown,Sewage system (public sewage disposal),,,,mb
41088,PSE,Flush toilet,Unknown,flush_imp,,,mb
41088,PSE,No toilet,Sewage system (public sewage disposal),open,,,mb
41088,PSE,NIU (not in universe),NIU (not in universe),,,,mb
42361,RWA,"Non-flush, latrine",,latrine_cw,,,mb
42361,RWA,Flush toilet,,flush_cw,,,mb
42361,RWA,No toilet,,open,,,mb
42361,RWA,"Non-flush, other and unspecified",,,,,mb
42361,RWA,Unknown,,,,,mb
42432,RWA,NIU (not in universe),,,mg,ad,
42432,RWA,"Non-flush, other and unspecified",,,mg,ad,
42432,RWA,"Non-flush, latrine",,latrine_cw,mg,ad,
42432,RWA,Flush toilet,,flush_cw,mg,ad,
42432,RWA,No toilet,,open,mg,ad,
42432,RWA,Unknown,,,mg,ad,
367645,RWA,"non-flush, latrine",not connected to sewage disposal system,unimp,,,mb
367645,RWA,"non-flush, latrine",sewage system (public sewage disposal),latrine_cw,,,mb
367645,RWA,unknown,not connected to sewage disposal system,,,,mb
367645,RWA,flush toilet,not connected to sewage disposal system,flush_unimp,,,mb
367645,RWA,"non-flush, latrine",unknown,latrine_cw,,,mb
367645,RWA,flush toilet,sewage system (public sewage disposal),flush_imp_sewer,,,mb
367645,RWA,unknown,unknown,,,,mb
367645,RWA,"non-flush, other and unspecified",not connected to sewage disposal system,,,,mb
367645,RWA,unknown,sewage system (public sewage disposal),,,,mb
367645,RWA,no toilet,not connected to sewage disposal system,open,,,mb
367645,RWA,no toilet,sewage system (public sewage disposal),open,,,mb
367645,RWA,flush toilet,unknown,flush_imp,,,mb
367645,RWA,"non-flush, other and unspecified",unknown,,,,mb
367645,RWA,"non-flush, other and unspecified",sewage system (public sewage disposal),latrine_cw,,,mb
367645,RWA,no toilet,unknown,open,,,mb
43167,SDN,No toilet,,open,,,mb
43167,SDN,"Non-flush, other and unspecified",,,,,mb
43167,SDN,"Non-flush, latrine",,latrine_cw,,,mb
43167,SDN,Flush toilet,,flush_cw,,,mb
43142,SEN,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,mg,ad,
43142,SEN,No toilet,Septic tank (private sewage disposal),septic,mg,ad,
43142,SEN,No toilet,Sewage system (public sewage disposal),open,mg,ad,
43142,SEN,"Non-flush, other and unspecified",Not connected to sewage disposal system,,mg,ad,
43142,SEN,"Non-flush, latrine",Septic tank (private sewage disposal),septic,mg,ad,
43142,SEN,"Non-flush, latrine",Sewage system (public sewage disposal),latrine_cw,mg,ad,
43142,SEN,"Non-flush, other and unspecified",,,mg,ad,
43142,SEN,"Non-flush, other and unspecified",Septic tank (private sewage disposal),septic,mg,ad,
43142,SEN,"Non-flush, latrine",Not connected to sewage disposal system,unimp,mg,ad,
43142,SEN,No toilet,Not connected to sewage disposal system,open,mg,ad,
43142,SEN,Flush toilet,Not connected to sewage disposal system,flush_unimp,mg,ad,
43142,SEN,"Non-flush, other and unspecified",Sewage system (public sewage disposal),latrine_cw,mg,ad,
43142,SEN,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,mg,ad,
43142,SEN,"Non-flush, latrine",,latrine_cw,mg,ad,
43142,SEN,No toilet,,open,mg,ad,
43142,SEN,Flush toilet,,flush_cw,mg,ad,
11661,SLE,No toilet,,open,mg,ad,
11661,SLE,"Non-flush, latrine",,latrine_cw,mg,ad,
11661,SLE,Flush toilet,,flush_cw,mg,ad,
11661,SLE,"Non-flush, other and unspecified",,,mg,ad,
11661,SLE,Unknown,,,mg,ad,
56472,SLV,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
56472,SLV,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
56472,SLV,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
56472,SLV,No toilet,Not connected to sewage disposal system,open,,,mb
56472,SLV,"Non-flush, other and unspecified",Not connected to sewage disposal system,,,,mb
56472,SLV,NIU (not in universe),NIU (not in universe),,,,mb
56476,SLV,"non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
56476,SLV,flush toilet,Not connected to sewage disposal system,flush_unimp,,,mb
56476,SLV,flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
56476,SLV,flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
56476,SLV,no toilet,Not connected to sewage disposal system,open,,,mb
56476,SLV,"non-flush, latrine",Septic tank (private sewage disposal),septic,,,mb
56476,SLV,niu (not in universe),NIU (not in universe),,,,mb
56476,SLV,"non-flush, latrine",Sewage system (public sewage disposal),latrine_cw,,,mb
56476,SLV,no toilet,Septic tank (private sewage disposal),septic,,,mb
56476,SLV,no toilet,Sewage system (public sewage disposal),open,,,mb
106548,SSD,"Non-flush, latrine",,latrine_cw,mg,ad,
106548,SSD,No toilet,,open,mg,ad,
106548,SSD,Flush toilet,,flush_cw,mg,ad,
106548,SSD,"Non-flush, other and unspecified",,,mg,ad,
43226,THA,"Non-flush, latrine",One,latrine_cw,,,mb
43226,THA,"Non-flush, latrine",None,unimp,,,mb
43226,THA,No toilet,None,open,,,mb
43226,THA,Flush toilet,Two,flush_cw,,,mb
43226,THA,Flush toilet,None,flush_unimp,,,mb
43226,THA,"Non-flush, latrine",Two,latrine_cw,,,mb
43226,THA,Flush toilet,One,flush_cw,,,mb
43226,THA,NIU (not in universe),NIU (not in universe),,,,mb
43226,THA,"Non-flush, other and unspecified",None,,,,mb
43226,THA,Unknown,None,,,,mb
43226,THA,No toilet,One,open,,,mb
43226,THA,"Non-flush, latrine",Unknown,latrine_cw,,,mb
43226,THA,"Non-flush, latrine",Three,latrine_cw,,,mb
43226,THA,"Non-flush, other and unspecified",One,,,,mb
43226,THA,No toilet,Two,open,,,mb
43226,THA,"Non-flush, latrine",Four,latrine_cw,,,mb
43226,THA,Unknown,One,,,,mb
43226,THA,"Non-flush, latrine",Five,latrine_cw,,,mb
43226,THA,No toilet,Unknown,open,,,mb
43226,THA,Unknown,Unknown,,,,mb
43226,THA,"Non-flush, latrine",Seven,latrine_cw,,,mb
43226,THA,"Non-flush, latrine",Eight or more,latrine_cw,,,mb
43226,THA,Flush toilet,Four,flush_cw,,,mb
43226,THA,Flush toilet,Eight or more,flush_cw,,,mb
43226,THA,"Non-flush, other and unspecified",Unknown,,,,mb
43226,THA,Flush toilet,Unknown,flush_imp,,,mb
43226,THA,Flush toilet,Six,flush_cw,,,mb
43226,THA,"Non-flush, latrine",Six,latrine_cw,,,mb
43226,THA,Flush toilet,Three,flush_cw,,,mb
43226,THA,No toilet,Four,open,,,mb
43226,THA,"Non-flush, other and unspecified",Two,,,,mb
43226,THA,Flush toilet,Five,flush_cw,,,mb
43226,THA,Unknown,Two,,,,mb
43226,THA,Flush toilet,Seven,flush_cw,,,mb
43226,THA,Unknown,Eight or more,,,,mb
43226,THA,Unknown,Seven,,,,mb
43231,THA,"Non-flush, latrine",,latrine_cw,,,mb
43231,THA,Flush toilet,,flush_cw,,,mb
43231,THA,No toilet,,open,,,mb
43231,THA,Unknown,,,,,mb
43231,THA,NIU (not in universe),,,,,mb
43231,THA,"Non-flush, other and unspecified",,,,,mb
294806,TTO,flush toilet,,flush_cw,,,mb
294806,TTO,"non-flush, latrine",,latrine_cw,,,mb
294806,TTO,no toilet,,open,,,mb
294806,TTO,unknown,,,,,mb
294806,TTO,"non-flush, other and unspecified",,,,,mb
294807,TTO,flush toilet,,flush_cw,,,mb
294807,TTO,"non-flush, latrine",,latrine_cw,,,mb
294807,TTO,niu (not in universe),,,,,mb
294807,TTO,unknown,,,,,mb
43207,TZA,"Non-flush, latrine",,latrine_cw,,,mb
43207,TZA,No toilet,,open,,,mb
43207,TZA,Flush toilet,,flush_cw,,,mb
43207,TZA,Unknown,,,,,mb
43212,TZA,NIU (not in universe),,,mg,ad,
43212,TZA,"Non-flush, other and unspecified",,,mg,ad,
43212,TZA,"Non-flush, latrine",,latrine_cw,mg,ad,
43212,TZA,Flush toilet,,flush_cw,mg,ad,
43212,TZA,No toilet,,open,mg,ad,
294725,TZA,"Non-flush, latrine",,latrine_cw,mg,ad,
294725,TZA,Flush toilet,,flush_cw,mg,ad,
294725,TZA,No toilet,,open,mg,ad,
294725,TZA,"Non-flush, other and unspecified",,,mg,ad,
43328,UGA,NIU (not in universe),,,mg,ad,
43328,UGA,"Non-flush, other and unspecified",,,mg,ad,
43328,UGA,"Non-flush, latrine",,latrine_cw,mg,ad,
43328,UGA,No toilet,,open,mg,ad,
43328,UGA,Flush toilet,,flush_cw,mg,ad,
43334,UGA,"Non-flush, latrine",,latrine_cw,,,mb
43334,UGA,No toilet,,open,,,mb
43334,UGA,"Non-flush, other and unspecified",,,,,mb
43334,UGA,Unknown,,,,,mb
43334,UGA,Flush toilet,,flush_cw,,,mb
43334,UGA,NIU (not in universe),,,,,mb
56538,URY,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
56538,URY,NIU (not in universe),NIU (not in universe),,,,mb
56538,URY,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
56538,URY,"Non-flush, latrine",Septic tank (private sewage disposal),septic,,,mb
56538,URY,No toilet,Not connected to sewage disposal system,open,,,mb
56538,URY,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
56538,URY,"Non-flush, latrine",Sewage system (public sewage disposal),latrine_cw,,,mb
56538,URY,Flush toilet,Not connected to sewage disposal system,flush_unimp,,,mb
151322,URY,NIU (not in universe),NIU (not in universe),,,,mb
151322,URY,Unknown,Unknown,,,,mb
151322,URY,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
151322,URY,No toilet,NIU (not in universe),open,,,mb
151322,URY,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
151322,URY,"Non-flush, latrine",Septic tank (private sewage disposal),septic,,,mb
151322,URY,"Non-flush, latrine",Sewage system (public sewage disposal),latrine_cw,,,mb
151322,URY,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
151322,URY,Flush toilet,Not connected to sewage disposal system,flush_unimp,,,mb
43407,VEN,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
43407,VEN,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
43407,VEN,No toilet,Not connected to sewage disposal system,open,,,mb
43407,VEN,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
43407,VEN,Unknown,Unknown,,,,mb
43407,VEN,NIU (not in universe),NIU (not in universe),,,,mb
43412,VEN,No toilet,Not connected to sewage disposal system,open,,,mb
43412,VEN,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,,,mb
43412,VEN,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,,,mb
43412,VEN,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
43412,VEN,NIU (not in universe),NIU (not in universe),,,,mb
43412,VEN,"Non-flush, other and unspecified",Not connected to sewage disposal system,,,,mb
43571,VNM,Unknown,Unknown,,,,mb
43571,VNM,No toilet,Not connected to sewage disposal system,open,,,mb
43571,VNM,Flush toilet,Connected to sewage system or septic tank,flush_imp_septic,,,mb
43571,VNM,"Non-flush, other and unspecified",Not connected to sewage disposal system,,,,mb
43718,VNM,flush toilet,Connected to sewage system or septic tank,flush_imp_septic,,,mb
43718,VNM,"non-flush, other and unspecified",Not connected to sewage disposal system,,,,mb
43718,VNM,no toilet,Not connected to sewage disposal system,open,,,mb
43718,VNM,niu (not in universe),Unknown,,,,mb
43718,VNM,unknown,Unknown,,,,mb
43726,VNM,,,,,,mb
43146,ZAF,Flush toilet,,flush_cw,,,mb
43146,ZAF,No toilet,,open,,,mb
43146,ZAF,"Non-flush, latrine",,latrine_cw,,,mb
43146,ZAF,NIU (not in universe),,,,,mb
43146,ZAF,"Non-flush, other and unspecified",,,,,mb
43146,ZAF,Unknown,,,,,mb
43152,ZAF,NIU (not in universe),NIU (not in universe),,mg,ad,
43152,ZAF,Flush toilet,Sewage system (public sewage disposal),flush_imp_sewer,mg,ad,
43152,ZAF,NIU (not in universe),Not connected to sewage disposal system,,mg,ad,
43152,ZAF,NIU (not in universe),Sewage system (public sewage disposal),,mg,ad,
43152,ZAF,NIU (not in universe),Septic tank (private sewage disposal),septic,mg,ad,
43152,ZAF,NIU (not in universe),,,mg,ad,
43152,ZAF,"Non-flush, other and unspecified",NIU (not in universe),,mg,ad,
43152,ZAF,No toilet,Sewage system (public sewage disposal),open,mg,ad,
43152,ZAF,No toilet,Septic tank (private sewage disposal),septic,mg,ad,
43152,ZAF,"Non-flush, other and unspecified",Not connected to sewage disposal system,,mg,ad,
43152,ZAF,"Non-flush, latrine",Sewage system (public sewage disposal),latrine_cw,mg,ad,
43152,ZAF,"Non-flush, latrine",Septic tank (private sewage disposal),septic,mg,ad,
43152,ZAF,"Non-flush, other and unspecified",,,mg,ad,
43152,ZAF,"Non-flush, other and unspecified",Sewage system (public sewage disposal),latrine_cw,mg,ad,
43152,ZAF,"Non-flush, other and unspecified",Septic tank (private sewage disposal),septic,mg,ad,
43152,ZAF,Flush toilet,Not connected to sewage disposal system,flush_unimp,mg,ad,
43152,ZAF,No toilet,Not connected to sewage disposal system,open,mg,ad,
43152,ZAF,"Non-flush, latrine",Not connected to sewage disposal system,unimp,mg,ad,
43152,ZAF,Flush toilet,Septic tank (private sewage disposal),flush_imp_septic,mg,ad,
43152,ZAF,Flush toilet,NIU (not in universe),flush_cw,mg,ad,
43152,ZAF,No toilet,NIU (not in universe),open,mg,ad,
43152,ZAF,"Non-flush, latrine",NIU (not in universe),latrine_cw,mg,ad,
43152,ZAF,Flush toilet,,flush_cw,mg,ad,
43152,ZAF,No toilet,,open,mg,ad,
43152,ZAF,"Non-flush, latrine",,latrine_cw,mg,ad,
43158,ZAF,NIU (not in universe),,,mg,ad,
43158,ZAF,"Non-flush, other and unspecified",,,mg,ad,
43158,ZAF,Flush toilet,,flush_cw,mg,ad,
43158,ZAF,"Non-flush, latrine",,latrine_cw,mg,ad,
43158,ZAF,No toilet,,open,mg,ad,
227194,ZAF,flush toilet,,flush_cw,,,mb
227194,ZAF,"non-flush, other and unspecified",,,,,mb
227194,ZAF,niu (not in universe),,,,,mb
227194,ZAF,no toilet,,open,,,mb
227194,ZAF,"non-flush, latrine",,latrine_cw,,,mb
151323,ZMB,Flush toilet,Connected to sewage system or septic tank,flush_imp_septic,,,mb
151323,ZMB,"Non-flush, latrine",Not connected to sewage disposal system,unimp,,,mb
151323,ZMB,No toilet,Not connected to sewage disposal system,open,,,mb
151323,ZMB,"Non-flush, other and unspecified",Not connected to sewage disposal system,,,,mb
151323,ZMB,Unknown,Unknown,,,,mb
151323,ZMB,Flush toilet,Not connected to sewage disposal system,flush_unimp,,,mb
151323,ZMB,NIU (not in universe),NIU (not in universe),,,,mb
151325,ZMB,No toilet,Connected to sewage system or septic tank,septic,mg,ad,
151325,ZMB,"Non-flush, other and unspecified",Not connected to sewage disposal system,,mg,ad,
151325,ZMB,"Non-flush, latrine",Connected to sewage system or septic tank,septic,mg,ad,
151325,ZMB,No toilet,Not connected to sewage disposal system,open,mg,ad,
151325,ZMB,"Non-flush, latrine",Not connected to sewage disposal system,unimp,mg,ad,
151325,ZMB,Flush toilet,Not connected to sewage disposal system,flush_unimp,mg,ad,
151325,ZMB,Flush toilet,Connected to sewage system or septic tank,flush_imp_septic,mg,ad,
151325,ZMB,No toilet,,open,mg,ad,
151325,ZMB,"Non-flush, latrine",,latrine_cw,mg,ad,
151325,ZMB,Flush toilet,,flush_cw,mg,ad,
151325,ZMB,"Non-flush, other and unspecified",,,mg,ad,
151325,ZMB,"Non-flush, other and unspecified",Connected to sewage system or septic tank,septic,mg,ad,
151326,ZMB,No toilet,Connected to sewage system or septic tank,septic,mg,ad,
151326,ZMB,"Non-flush, other and unspecified",Not connected to sewage disposal system,,mg,ad,
151326,ZMB,"Non-flush, latrine",Connected to sewage system or septic tank,septic,mg,ad,
151326,ZMB,No toilet,Not connected to sewage disposal system,open,mg,ad,
151326,ZMB,"Non-flush, latrine",Not connected to sewage disposal system,unimp,mg,ad,
151326,ZMB,Flush toilet,Not connected to sewage disposal system,flush_unimp,mg,ad,
151326,ZMB,Flush toilet,Connected to sewage system or septic tank,flush_imp_septic,mg,ad,
151326,ZMB,No toilet,,open,mg,ad,
151326,ZMB,"Non-flush, latrine",,latrine_cw,mg,ad,
151326,ZMB,Flush toilet,,flush_cw,mg,ad,
151326,ZMB,"Non-flush, other and unspecified",,,mg,ad,
151326,ZMB,"Non-flush, other and unspecified",Connected to sewage system or septic tank,septic,mg,ad,
367747,ZWE,no toilet,,open,,,mb
367747,ZWE,"non-flush, latrine",,latrine_cw,,,mb
367747,ZWE,unknown,,,,,mb
367747,ZWE,niu (not in universe),,,,,mb
367747,ZWE,flush toilet,,flush_cw,,,mb
367747,ZWE,"non-flush, other and unspecified",,,,,mb
